Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Fernando,Arrival,1976,4:12,4,0.354,0.535,9,-8.876,1,0.0303,0.627,0.0000029,0.0808,0.434,110.821,69
"Knowing Me, Knowing You",Arrival,1976,4:01,4,0.546,0.733,2,-7.073,1,0.0299,0.0399,0.00000111,0.235,0.91,107.285,67
When I Kissed The Teacher,Arrival,1976,3:01,4,0.527,0.939,3,-5.795,1,0.0442,0.519,0.0000613,0.06,0.714,153.755,58
"My Love, My Life",Arrival,1976,3:51,4,0.208,0.424,0,-7.532,1,0.0275,0.781,0.0000701,0.107,0.247,148.875,53
Why Did It Have To Be Me?,Arrival,1976,3:20,4,0.557,0.9,2,-6.215,1,0.0387,0.517,0.00554,0.535,0.863,117.42,52
That's Me,Arrival,1976,3:15,4,0.558,0.864,6,-6.654,1,0.0295,0.167,0.000216,0.242,0.841,129.42,50
Dum Dum Diddle,Arrival,1976,2:53,4,0.666,0.818,4,-6.581,1,0.0321,0.228,0.0000165,0.306,0.881,127.33,46
Tiger,Arrival,1976,2:55,4,0.569,0.907,8,-5.77,1,0.0429,0.279,0.00000195,0.106,0.836,134.819,41
Arrival,Arrival,1976,3:00,3,0.232,0.491,1,-7.328,1,0.0329,0.689,0.938,0.0662,0.153,69.612,40
Happy Hawaii,Arrival,1976,4:25,4,0.525,0.783,0,-7.325,1,0.041,0.288,0.000422,0.375,0.331,118.274,38
Take A Chance On Me,The Album,1977,4:03,4,0.684,0.675,11,-8.123,1,0.0257,0.163,0,0.242,0.924,107.064,76
Thank You For The Music,The Album,1977,3:49,4,0.283,0.417,4,-9.124,1,0.0404,0.835,0,0.102,0.373,201.145,63
The Name Of The Game,The Album,1977,4:51,4,0.656,0.565,9,-8.722,1,0.0301,0.357,0.000192,0.0629,0.615,77.049,59
Eagle - Long Version,The Album,1977,5:50,4,0.481,0.763,2,-6.698,1,0.0263,0.216,0.00000975,0.204,0.554,85.191,47
"One Man, One Woman",The Album,1977,4:35,4,0.484,0.524,9,-7.931,1,0.0263,0.531,0.0000224,0.148,0.55,71.828,44
Move On,The Album,1977,4:43,3,0.57,0.556,10,-8.903,1,0.0251,0.322,0.00000321,0.779,0.797,97.36,41
Hole In Your Soul,The Album,1977,3:41,4,0.395,0.811,4,-5.546,1,0.0945,0.0767,0.0159,0.342,0.615,154.708,39
I'm A Marionette,The Album,1977,4:03,3,0.458,0.662,4,-6.811,0,0.0396,0.376,0.0000116,0.108,0.137,149.907,34
