Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Love Is Dangerous - 2018 Remaster,Behind the Mask,1990,3:18,4,0.642,0.712,5,-10.27,1,0.0285,0.146,0.0000341,0.15,0.826,112.75,27
Save Me,Behind the Mask,1990,4:15,4,0.564,0.715,9,-10.66,0,0.0305,0.176,0.00207,0.279,0.731,139.492,30
Skies the Limit,Behind the Mask,1990,3:45,4,0.652,0.597,7,-11.585,1,0.0278,0.408,0.0000634,0.143,0.578,119.97,33
I Got It in for You,Time,1995,4:10,4,0.53,0.859,9,-8.055,1,0.0367,0.244,0.000197,0.301,0.618,92.92,15
These Strange Times,Time,1995,7:08,4,0.513,0.569,7,-12.154,0,0.0359,0.438,0.781,0.0707,0.56,104.925,15
Blow by Blow,Time,1995,4:27,4,0.602,0.82,6,-5.979,1,0.0361,0.211,0.00000183,0.149,0.805,116.734,18
Nothing Without You,Time,1995,3:08,4,0.658,0.716,2,-8.222,1,0.0291,0.357,0.00000613,0.0373,0.728,121.395,18
Dreamin' the Dream,Time,1995,3:45,3,0.511,0.123,9,-18.364,1,0.0305,0.902,0.000671,0.111,0.231,109.149,18
All over Again,Time,1995,3:36,3,0.448,0.333,4,-9.8,1,0.0282,0.867,0.0000376,0.141,0.11,146.669,19
Hollywood (Some Other Kind of Town),Time,1995,5:45,4,0.598,0.746,0,-7.508,1,0.0259,0.568,0.0000227,0.0915,0.646,131.086,20
Sooner or Later,Time,1995,5:41,4,0.5,0.502,9,-10.306,1,0.0261,0.429,0.0116,0.072,0.0709,102.981,20
I Wonder Why,Time,1995,4:29,4,0.601,0.761,11,-7.26,0,0.0374,0.272,0.00000181,0.0696,0.561,132.433,20
Nights in Estoril,Time,1995,4:47,4,0.513,0.8,6,-7.234,0,0.0346,0.202,0.000555,0.0965,0.675,139.498,20
Talkin' to My Heart,Time,1995,4:56,4,0.502,0.61,9,-8.68,1,0.028,0.33,0.0000135,0.094,0.289,120.696,21
Winds of Change,Time,1995,4:28,4,0.612,0.694,2,-7.178,1,0.0306,0.487,0.000513,0.0987,0.681,119.754,22
I Do,Time,1995,4:28,4,0.665,0.713,2,-7.251,1,0.0264,0.596,0.000767,0.111,0.738,120.483,28
Red Rover,Say You Will,2003,3:57,3,0.631,0.88,10,-5.554,1,0.0343,0.584,0.000434,0.116,0.71,147.31,24
Come,Say You Will,2003,5:59,3,0.204,0.681,2,-4.607,1,0.0739,0.314,0.0000175,0.108,0.499,184.546,25
Murrow Turning over in His Grave,Say You Will,2003,4:11,4,0.243,0.957,0,-2.378,1,0.141,0.122,0.000259,0.154,0.245,204.144,26
Illume (9-11),Say You Will,2003,4:50,4,0.559,0.938,2,-5.116,1,0.0929,0.0364,0,0.248,0.563,90.024,26
Goodbye Baby,Say You Will,2003,3:50,4,0.464,0.296,4,-11.803,1,0.0293,0.398,0.00324,0.159,0.171,82.178,26
What's the World Coming To,Say You Will,2003,3:47,4,0.537,0.742,5,-3.908,1,0.0305,0.0366,0.0000614,0.461,0.538,122.333,27
Miranda,Say You Will,2003,4:17,4,0.577,0.868,11,-3.613,1,0.0507,0.186,0.0021,0.0806,0.809,118.101,27
Smile at You,Say You Will,2003,4:32,4,0.596,0.584,9,-7.121,0,0.0264,0.0948,0,0.257,0.349,96.283,27
Running Through the Garden,Say You Will,2003,4:33,4,0.425,0.908,4,-3.055,0,0.0875,0.039,0,0.145,0.236,150.064,28
Destiny Rules,Say You Will,2003,4:26,4,0.511,0.922,1,-4.068,1,0.0287,0.0352,0.0000202,0.0675,0.836,150.653,28
Steal Your Heart Away,Say You Will,2003,3:33,4,0.636,0.852,4,-5.539,1,0.0266,0.302,0.000109,0.179,0.874,113.894,29
Silver Girl,Say You Will,2003,3:59,4,0.705,0.547,5,-8.282,0,0.0232,0.364,0,0.0827,0.624,103.938,30
Everybody Finds Out,Say You Will,2003,4:28,4,0.508,0.959,5,-3.4,0,0.0656,0.096,0.00036,0.333,0.655,126.487,31
Say Goodbye,Say You Will,2003,3:24,3,0.505,0.904,6,-6.143,1,0.0378,0.576,0.113,0.127,0.71,135.381,35
Bleed to Love Her,Say You Will,2003,4:05,4,0.4,0.914,8,-3.669,1,0.0377,0.489,0.012,0.0588,0.843,85.444,48
Peacekeeper,Say You Will,2003,4:10,4,0.604,0.759,7,-4.896,0,0.0317,0.136,0.0000138,0.101,0.671,127.208,50
Say You Will,Say You Will,2003,3:47,4,0.555,0.865,5,-6.156,1,0.069,0.134,0,0.208,0.837,121.834,51
Thrown Down,Say You Will,2003,4:00,4,0.626,0.791,5,-5.735,0,0.0262,0.527,0.0000404,0.0952,0.864,129.976,55
